account_id,name,country_code,team_id,team_name,team_tag
12231202,LIMMP,se,111474,Alliance,Alliance
18180970,Handsken,se,111474,Alliance,Alliance
94049589,Fng,by,111474,Alliance,Alliance
412753955,Nikobaby龙的传人,bg,111474,Alliance,Alliance
41231571,s4,se,111474,Alliance,Alliance
89423756,LaNm,cn,6209166,Team Aster,Aster
373520478,White丶Album_白学家,cn,6209166,Team Aster,Aster
207829314,Borax,cn,6209166,Team Aster,Aster
148215639,Monet,cn,6209166,Team Aster,Aster
129958758,Xxs,cn,6209166,Team Aster,Aster
86745912,Arteezy,ca,39,Evil Geniuses,EG
84772440,iceiceice,sg,39,Evil Geniuses,EG
154715080,Abed,ph,39,Evil Geniuses,EG
25907144,Cr1t-,dk,39,Evil Geniuses,EG
94155156,Fly,il,39,Evil Geniuses,EG
139937922,Yang,cn,8204512,Elephant,Elephant
106863163,Somnus丶M,cn,8204512,Elephant,Elephant
137193239,eurus,cn,8204512,Elephant,Elephant
101695162,fy,cn,8204512,Elephant,Elephant
90882159,Super！,,8204512,Elephant,Elephant
100471531,jabz,th,350190,Fnatic,Fnatic
113435203,ChYuaN,my,350190,Fnatic,Fnatic
132309493,Raven,,350190,Fnatic,Fnatic
102099826,DJ,ph,350190,Fnatic,Fnatic
99983413,Deth,,350190,Fnatic,Fnatic
101259972,Oli~,my,5,INVICTUS GAMING,IG
138857296,JT-,my,5,INVICTUS GAMING,IG
139876032,kaka,cn,5,INVICTUS GAMING,IG
168028715,flyfly,cn,5,INVICTUS GAMING,IG
202217968,Emo,cn,5,INVICTUS GAMING,IG
88271237,Ceb,lb,2586976,OG,OG
19672354,N0tail,dk,2586976,OG,OG
103735745,Saksa,mk,2586976,OG,OG
111620041,SumaiL,pk,2586976,OG,OG
94054712,Topson,fi,2586976,OG,OG
157475523,XinQ,cn,15,PSG.LGD,PSG.LGD
173978074,NothingToSay,my,15,PSG.LGD,PSG.LGD
111114687,y`,cn,15,PSG.LGD,PSG.LGD
118134220,Faith_bian,cn,15,PSG.LGD,PSG.LGD
898754153,萧瑟,,15,PSG.LGD,PSG.LGD
221666230,Quinn,us,7390454,Quincy Crew,QCY
47434686,LoA,,7390454,Quincy Crew,QCY
108452107,YS,pk,7390454,Quincy Crew,QCY
86726887,MSS,us,7390454,Quincy Crew,QCY
87063175,LESLÃO,,7390454,Quincy Crew,QCY
85937380,4dr ♥ Deia,br,8255756,SG esports,SG
86822085,Costabile,,8255756,SG esports,SG
81306398,KJ,br,8255756,SG esports,SG
117956848,tavo,br,8255756,SG esports,SG
105045291,Thiolicor,br,8255756,SG esports,SG
72312627,MATUMBAMAN,fi,1838315,Team Secret,Secret
73562326,zai,se,1838315,Team Secret,Secret
87278757,Puppey,ee,1838315,Team Secret,Secret
121769650,Nisha,pl,1838315,Team Secret,Secret
89117038,YapzOr,jo,1838315,Team Secret,Secret
121404228,Xepher,id,8214850,T1,T1
94281932,Karl,,8214850,T1,T1
184950344,Ku,ph,8214850,T1,T1
375507918,23,th,8214850,T1,T1
302214028,Collapse,ru,7119388,Team Spirit,TSpirit
256156323,Mira,ua,7119388,Team Spirit,TSpirit
431770905,TORONTOTOKYO,,7119388,Team Spirit,TSpirit
113331514,Miposhka,,7119388,Team Spirit,TSpirit
321580662,Yatoro,ua,7119388,Team Spirit,TSpirit
349310876,MoOz,pe,7391077,Thunder Predator,ThunderP
407321629,Frank,pe,7391077,Thunder Predator,ThunderP
186837494,Mjz,,7391077,Thunder Predator,ThunderP
59463394,Leostyle- ,,7391077,Thunder Predator,ThunderP
95825708,MNZ,,7391077,Thunder Predator,ThunderP
97658618,Timado,,8260983,Undying,UND
126212866,SabeRLighT,cz,8260983,Undying,UND
145550466,DuBu,kr,8260983,Undying,UND
238239590,Bryle,,8260983,Undying,UND
38628747,MoonMeander,ca,8260983,Undying,UND
107803494,曾焦阳,cn,726228,Vici Gaming,VG
134276083,old eLeVeN,cn,726228,Vici Gaming,VG
143693439,Dy,cn,726228,Vici Gaming,VG
277141004,poyoyo,,726228,Vici Gaming,VG
138543123,Pyw,cn,726228,Vici Gaming,VG
124801257,Nightfall,,1883502,Virtus.pro,VP
480412663,gpk~,,1883502,Virtus.pro,VP
56351509,DM,ru,1883502,Virtus.pro,VP
187758589,Kingslayer,ru,1883502,Virtus.pro,VP
317880638,Save-,md,1883502,Virtus.pro,VP
119631156,ST!NG3R,kr,8254400,beastcoast,bc
164685175,k1  ,pe,8254400,beastcoast,bc
292921272,Wisper,bo,8254400,beastcoast,bc
153836240,Chris luck,pe,8254400,beastcoast,bc
28070572,Mariano,ar,8254400,beastcoast,bc
157989498,Scofield:❤KAT,pe,8254400,beastcoast,bc
